ID;SCHULNUMME;SCHULFORM;NAME;KURZNAME;ADRESSE;POSTLEITZA;ORT;SCHUELER;RUFNUMMER;EMAIL;einwohner;full_adress;lat;lon
0;100000;Weiterbildungskolleg;Studienkolleg des Ökumenischen;Bochum, WBK KOL Studienkolleg;Girondelle 80;44799;Bochum;0;02349388231;100000@schule.nrw.de;364454;Girondelle 80, 44799, Bochum, Germany;NA;NA
0;100010;Gymnasium;Gymnasium Claudia Agrippina Privat;Köln, Gym Gymnasium Claudia Agrippina;Stolberger Str. 112;50933;Köln;98;022137996433;100010@schule.nrw.de;1083498;Stolberger Str. 112, 50933, Koeln, Germany;50,9424949000000;6,89702730211467
0;100011;Gesamtschule;Städt. Gesamtschule;Haan, GE Walder Straße;Walder Str. 15;42781;Haan;531;021293754950;100011@schule.nrw.de;30263;Walder Str. 15, 42781, Haan, Germany;51,1936167500000;7,01790089250360
0;100012;Grundschule;Städt. Gemeinschaftsgrundschule;Leverkusen, GG Am Friedenspark;Netzestr. 12;51371;Leverkusen;355;0214310830;100012@schule.nrw.de;163905;Netzestr. 12, 51371, Leverkusen, Germany;51,0601247500000;6,95275486491778
0;100014;Grundschule;Kolibri-Schule;Herne, GG Kolibri-Schule;Jean-Vogel-Str. 36;44625;Herne;436;02323163970;100014@schule.nrw.de;156940;Jean-Vogel-Str. 36, 44625, Herne, Germany;51,5281561000000;7,22385060000000
0;100015;Gymnasium;Städt. Wim-Wenders-Gymnasium;Düsseldorf, Gym Wim-Wenders;Schmiedestr. 17;40227;Düsseldorf;436;02118924260;100015@schule.nrw.de;620523;Schmiedestr. 17, 40227, Duesseldorf, Germany;51,2108426000000;6,80677857791221
0;100016;Gesamtschule;Kupferstädter Gesamtschule;Stolberg, GE Kupferstädter;Breslauer Str. 1;52222;Stolberg;719;024029975610;100016@schule.nrw.de;56377;Breslauer Str. 1, 52222, Stolberg, Germany;50,7822731000000;6,22836330000000
0;100017;Grundschule;Städt. Gem. Grundschule;Hürth, GG Bonnstraße;Bonnstr. 109;50354;Hürth;181;02233974420;100017@schule.nrw.de;59525;Bonnstr. 109, 50354, Huerth, Germany;50,8800311000000;6,88348627135695
0;100018;Waldorfschule;Freie Waldorfschule Rudolf Steiner Schu-;Essen, FW Schellstraße;Schellstr. 47;45134;Essen;624;0201435150;100018@schule.nrw.de;582415;Schellstr. 47, 45134, Essen, Germany;51,4149074500000;7,02935872016818
0;100019;Gesamtschule;Joseph Beuys Gesamtschule;Kleve, GE Joseph Beuys;Hoffmannallee 15;47533;Kleve;892;0282175040;100019@schule.nrw.de;52359;Hoffmannallee 15, 47533, Kleve, Germany;NA;NA
0;100020;Grundschule;Städt. Kath. Grundschule;Düsseldorf, KG Kartause-Hain-Schule;Unterrather Str. 76;40468;Düsseldorf;180;02114791163;100020@schule.nrw.de;620523;Unterrather Str. 76, 40468, Duesseldorf, Germany;51,2751293000000;6,78296988418519
0;100021;Gesamtschule;Rupert-Neudeck-Gesamtschule der Stadt;Tönisvorst, GE Rupert-Neudeck;Corneliusstr. 25;47918;Tönisvorst;791;02151792650;100021@schule.nrw.de;29249;Corneliusstr. 25, 47918, Toenisvorst, Germany;51,3172120000000;6,48581680000000
0;100022;Gemeinschaftsschule (Schulversuch);Sekundarschule Medebach-Winterberg;Medebach, SK Medebach-Winterberg;Schützenstr. 12;59964;Medebach;714;02982922930;100022@schule.nrw.de;7987;Schuetzenstr. 12, 59964, Medebach, Germany;51,1942898000000;8,70100890000000
0;100023;Gesamtschule;Gesamtschule Lengerich/Tecklenburg;Lengerich, GE Lengerich/Tecklenburg;Margarethenstr. 1;49525;Lengerich;695;05481338510;100023@schule.nrw.de;22511;Margarethenstr. 1, 49525, Lengerich, Germany;52,1859652000000;7,86711995832105
0;100024;Gesamtschule;Euregioschule Gesamtschule der Stadt;Gronau, GE Euregioschule;Gildehauser Damm 49;48599;Gronau;692;025654019761;100024@schule.nrw.de;48576;Gildehauser Damm 49, 48599, Gronau, Germany;NA;NA
0;100025;Gesamtschule;Montessori Gesamtschule Sendenhorst;Sendenhorst, GE Teigelkamp;Teigelkamp 5;48324;Sendenhorst;194;02526937407;100025@schule.nrw.de;13289;Teigelkamp 5, 48324, Sendenhorst, Germany;NA;NA
0;100026;Grundschule;Schule unter der Iburg;Bad Driburg, GG Schule unter der Iburg;Jahnstr. 12;33014;Bad Driburg;524;052533894;100026@schule.nrw.de;18902;Jahnstr. 12, 33014, Bad Driburg, Germany;NA;NA
