ID;SCHULNUMME;SCHULFORM;NAME;KURZNAME;ADRESSE;POSTLEITZA;ORT;SCHUELER;RUFNUMMER;EMAIL;einwohner;full_adress;lat;lon;isna;id
0;100010;Gymnasium;Gymnasium Claudia Agrippina Privat;Köln, Gym Gymnasium Claudia Agrippina;Stolberger Str. 112;50933;Köln;98;022137996433;100010@schule.nrw.de;1083498;Stolberger Str. 112, 50933, Koeln, Germany;50,9424949000000;6,89702730211467;0;2
0;100011;Gesamtschule;Städt. Gesamtschule;Haan, GE Walder Straße;Walder Str. 15;42781;Haan;531;021293754950;100011@schule.nrw.de;30263;Walder Str. 15, 42781, Haan, Germany;51,1936167500000;7,01790089250360;0;3
0;100012;Grundschule;Städt. Gemeinschaftsgrundschule;Leverkusen, GG Am Friedenspark;Netzestr. 12;51371;Leverkusen;355;0214310830;100012@schule.nrw.de;163905;Netzestr. 12, 51371, Leverkusen, Germany;51,0601247500000;6,95275486491778;0;4
0;100014;Grundschule;Kolibri-Schule;Herne, GG Kolibri-Schule;Jean-Vogel-Str. 36;44625;Herne;436;02323163970;100014@schule.nrw.de;156940;Jean-Vogel-Str. 36, 44625, Herne, Germany;51,5281561000000;7,22385060000000;0;5
0;100015;Gymnasium;Städt. Wim-Wenders-Gymnasium;Düsseldorf, Gym Wim-Wenders;Schmiedestr. 17;40227;Düsseldorf;436;02118924260;100015@schule.nrw.de;620523;Schmiedestr. 17, 40227, Duesseldorf, Germany;51,2108426000000;6,80677857791221;0;6
0;100016;Gesamtschule;Kupferstädter Gesamtschule;Stolberg, GE Kupferstädter;Breslauer Str. 1;52222;Stolberg;719;024029975610;100016@schule.nrw.de;56377;Breslauer Str. 1, 52222, Stolberg, Germany;50,7822731000000;6,22836330000000;0;7
0;100017;Grundschule;Städt. Gem. Grundschule;Hürth, GG Bonnstraße;Bonnstr. 109;50354;Hürth;181;02233974420;100017@schule.nrw.de;59525;Bonnstr. 109, 50354, Huerth, Germany;50,8800311000000;6,88348627135695;0;8
0;100018;Waldorfschule;Freie Waldorfschule Rudolf Steiner Schu-;Essen, FW Schellstraße;Schellstr. 47;45134;Essen;624;0201435150;100018@schule.nrw.de;582415;Schellstr. 47, 45134, Essen, Germany;51,4149074500000;7,02935872016818;0;9
0;100020;Grundschule;Städt. Kath. Grundschule;Düsseldorf, KG Kartause-Hain-Schule;Unterrather Str. 76;40468;Düsseldorf;180;02114791163;100020@schule.nrw.de;620523;Unterrather Str. 76, 40468, Duesseldorf, Germany;51,2751293000000;6,78296988418519;0;11
0;100021;Gesamtschule;Rupert-Neudeck-Gesamtschule der Stadt;Tönisvorst, GE Rupert-Neudeck;Corneliusstr. 25;47918;Tönisvorst;791;02151792650;100021@schule.nrw.de;29249;Corneliusstr. 25, 47918, Toenisvorst, Germany;51,3172120000000;6,48581680000000;0;12
0;100022;Gemeinschaftsschule (Schulversuch);Sekundarschule Medebach-Winterberg;Medebach, SK Medebach-Winterberg;Schützenstr. 12;59964;Medebach;714;02982922930;100022@schule.nrw.de;7987;Schuetzenstr. 12, 59964, Medebach, Germany;51,1942898000000;8,70100890000000;0;13
0;100023;Gesamtschule;Gesamtschule Lengerich/Tecklenburg;Lengerich, GE Lengerich/Tecklenburg;Margarethenstr. 1;49525;Lengerich;695;05481338510;100023@schule.nrw.de;22511;Margarethenstr. 1, 49525, Lengerich, Germany;52,1859652000000;7,86711995832105;0;14
0;100028;Realschule;Realschule im Bezirk Zollverein;Essen, RS im Bezirk Zollverein;Gelsenkirchener Str. 138 a;45309;Essen;429;02018561430;100028@schule.nrw.de;582415;Gelsenkirchener Str. 138 a, 45309, Essen, Germany;51,4883022000000;7,04929350000000;0;19
0;100029;Grundschule;Schule an der Oranienstraße;Oberhausen,GG Schule a. d. Oranienstraße;Oranienstr. 57;46147;Oberhausen;275;020830977970;100029@schule.nrw.de;209566;Oranienstr. 57, 46147, Oberhausen, Germany;51,5391824000000;6,81139969461548;0;20
0;100030;Waldorfschule;Freie Waldorfschule Rheine;Rheine, FW Meisenstr.;Meisenstr. 30;48429;Rheine;103;059719808310;100030@schule.nrw.de;76123;Meisenstr. 30, 48429, Rheine, Germany;52,2771022000000;7,47831670000000;0;21
0;100032;Grundschule;GGS Regenbogenschule;Brühl, GG (Verb.) Regenbogenschule;Kaiserstr. 158;50321;Brühl;255;02232503030;100032@schule.nrw.de;43673;Kaiserstr. 158, 50321, Bruehl, Germany;50,8371878000000;6,89080526227812;0;22
0;100033;Realschule;Bischöfliche Clara-Fey-Schule,Realschule;Schleiden, RS Clara-Fey-Schule;Malmedyer Str. 2;53937;Schleiden;233;024457012;100033@schule.nrw.de;13191;Malmedyer Str. 2, 53937, Schleiden, Germany;50,5312681000000;6,48221236197912;0;23
0;100034;Gesamtschule;Das Forscherhaus Gesamtschule;Bünde, GE Das Forscherhaus;Heidestr. 41;32257;Bünde;154;052234870024;100034@schule.nrw.de;45376;Heidestr. 41, 32257, Buende, Germany;52,1903658000000;8,59315579586625;0;24
0;100035;Berufskolleg;August-Hermann-Francke-Berufskolleg;Detmold, BK August-Hermann-Francke;Georgstr. 24;32756;Detmold;123;05231921680;100035@schule.nrw.de;74097;Georgstr. 24, 32756, Detmold, Germany;51,9504081000000;8,87804750000000;0;25
0;100036;Gesamtschule;Gesamtschule Helios;Köln, GE Gesamtschule Helios;Overbeckstr. 71-73;50823;Köln;328;022135589980;100036@schule.nrw.de;1083498;Overbeckstr. 71-73, 50823, Koeln, Germany;50,9549714000000;6,92725200000000;0;26
0;100037;Berufskolleg;Matthias-Claudius-Schule Bochum;Bochum, BK Matthias-Claudius-Schule;Weitmarer Str. 115b;44795;Bochum;35;0234943650;100037@schule.nrw.de;364454;Weitmarer Str. 115b, 44795, Bochum, Germany;51,4602943000000;7,19910740000000;0;27
0;100038;Grundschule;Grundschule Wefelshohl;Lüdenscheid, GG Wefelshohl;Gustavstr. 35;58511;Lüdenscheid;173;023519475190;100038@schule.nrw.de;71911;Gustavstr. 35, 58511, Luedenscheid, Germany;51,2123243000000;7,65447454854261;0;28
0;100042;Gesamtschule;Gesamtschule der Stadt Geldern;Geldern, GE Königsberger Straße;Königsberger Str. 60;47608;Geldern;428;0283197796311;100042@schule.nrw.de;33760;Koenigsberger Str. 60, 47608, Geldern, Germany;51,5266469000000;6,32974807386058;0;32
0;100046;Gemeinschaftsschule (Schulversuch);Sekundarschule Königsbrügge;Bielefeld, SK Königsbrügge;Fritz-Reuter-Str. 30;33604;Bielefeld;221;0521515970;100046@schule.nrw.de;333509;Fritz-Reuter-Str. 30, 33604, Bielefeld, Germany;52,0119814000000;8,55421370000000;0;35
0;100048;Gesamtschule;Gesamtschule Bochum-Mitte;Bochum, GE Bochum-Mitte;Feldsieper Str. 94;44809;Bochum;646;02349505313;100048@schule.nrw.de;364454;Feldsieper Str. 94, 44809, Bochum, Germany;51,4947786000000;7,20712602872100;0;37
0;100052;Gesamtschule;Comenius-Gesamtschule;Neuss, GE Comenius-Gesamtschule;Weberstr. 90a;41464;Neuss;895;021311330380;100052@schule.nrw.de;153109;Weberstr. 90a, 41464, Neuss, Germany;51,1833595000000;6,69103190000000;0;40
0;100053;Gemeinschaftsschule (Schulversuch);Neue Sekundarschule Dorsten;Dorsten, SK Juliusstraße;Juliusstr. 1;46284;Dorsten;369;0236228435100;100053@schule.nrw.de;74515;Juliusstr. 1, 46284, Dorsten, Germany;51,6762529000000;6,95719430000000;0;41
0;100054;Grundschule;Offene Gemeinschaftsgrundschule;Wuppertal, GG Matthäusstraße;Rathenaustr. 22;42277;Wuppertal;125;02025632080;100054@schule.nrw.de;355004;Rathenaustr. 22, 42277, Wuppertal, Germany;51,2806805000000;7,21415460000000;0;42
0;100059;Grundschule;FASAN Freie Aktive Schule a. Niederrhein;Mönchengladbach, GG FASAN Freie Aktive;Alsstr. 70-72;41063;Mönchengladbach;50;021619043164;100059@schule.nrw.de;259665;Alsstr. 70-72, 41063, Moenchengladbach, Germany;51,2023065000000;6,45038220000000;0;46
0;100060;Berufskolleg;Textilakademie NRW Berufskolleg Sek. II;Mönchengladbach, BK Textilakademie NRW;Rheydter Str. 329;41065;Mönchengladbach;232;0216124750;100060@schule.nrw.de;259665;Rheydter Str. 329, 41065, Moenchengladbach, Germany;51,1900959000000;6,43573150000000;0;47
0;100063;Gesamtschule;Ida-Noddack-Gesamtschule;Wesel, GE Ida Noddack;Martinistr. 12;46483;Wesel;213;028116497940;100063@schule.nrw.de;60329;Martinistr. 12, 46483, Wesel, Germany;51,6601038000000;6,61183350304718;0;50
0;100064;Grundschule;Städtische Gemeinschaftsgrundschule;Bonn, GG Peter-Klein-Straße;Peter-Klein-Str. 4;53117;Bonn;188;02287789112;100064@schule.nrw.de;330579;Peter-Klein-Str. 4, 53117, Bonn, Germany;50,7551528000000;7,05662590000000;0;51
0;100066;Hauptschule;Glückauf-Schule;Essen, GH Glückauf-Schule;Bischoffstr. 120;45329;Essen;261;0201345175;100066@schule.nrw.de;582415;Bischoffstr. 120, 45329, Essen, Germany;51,5023036500000;7,01958807124167;0;53
0;100067;Grundschule;Städtische Katholische Grundschule;Düsseldorf, KG Niederkassel;Niederkasseler Str. 36;40547;Düsseldorf;326;02118924500;100067@schule.nrw.de;620523;Niederkasseler Str. 36, 40547, Duesseldorf, Germany;51,2374480000000;6,75391203383568;0;54
0;100068;Gesamtschule;Gesamtschule Berrenrather Straße;Köln, GE Berrenrather Straße;Berrenrather Str. 488;50937;Köln;205;022128550626;100068@schule.nrw.de;1083498;Berrenrather Str. 488, 50937, Koeln, Germany;50,9077216500000;6,91286828434268;0;55
0;100077;Gesamtschule;Gesamtschule Hiesfeld;Dinslaken, GE Hiesfeld;Kirchstr. 65;46539;Dinslaken;115;02064828410;100077@schule.nrw.de;67338;Kirchstr. 65, 46539, Dinslaken, Germany;51,5646933500000;6,77059693855643;0;63
0;100078;Grundschule;LOGOS-Grundschule;Köln, GG LOGOS;Arnsberger Str. 11;51065;Köln;30;022116908487;100078@schule.nrw.de;1083498;Arnsberger Str. 11, 51065, Koeln, Germany;50,9540754000000;7,01467195456889;0;64
0;100087;Waldorfschule;Freie Waldorfschule Niederrhein-Aue;Uedem, FW Niederrhein-Aue;Meursfeldstr. 8;47589;Uedem;58;028253079471;100087@schule.nrw.de;NA;Meursfeldstr. 8, 47589, Uedem, Germany;51,6644082000000;6,27337859281501;0;72
